img,caption
24189.png,a man sitting in front of a laptop computer
23864.png,a collage of photos of a boy holding a baseball bat
28405.png,a woman is posing for a picture with her dog
38609.png,a collage of photos of a woman sitting on a couch
64870.png,a close up picture of a woman with a smile on her face
42019.png,a man that is sitting in front of a screen
80123.png,a machine that is on top of a counter
74861.png,two men standing next to each other in front of a sign
42936.png,a man in a suit talking on a cell phone
84069.png,a woman brushing her teeth with a toothbrush
50163.png,a herd of sheep walking down a dirt road
60398.png,a women who is talking on a microphone
10689.png,a man laying on top of a beach next to a woman
32470.png,a little girl sitting on a bench with a stuffed animal
35890.png,a man with glasses holding a camera in front of his face
67024.png,a black and white photo of a man with a cigarette in his mouth
69487.png,a man and a woman sitting at a table
34127.png,a man sitting on a couch holding a video game controller
87543.png,a man with a beard and glasses holding a camera
13876.png,a car parked in front of a building with graffiti on it
13976.png,a man holding a video game controller in front of his face
57169.png,a man in a red shirt is reading a book
59376.png,a woman sitting in front of a wooden table
94031.png,a man wearing a white shirt and a white bow tie
19256.png,women standing next to each other
50248.png,a dog that is standing in the grass
75618.png,a man in a suit talking on a cell phone
64781.png,men standing next to each other
68120.png,a man sitting in a chair in front of a tv
83402.png,a woman standing in front of a picture of a train
62439.png,a man wearing a suit and tie
54983.png,a series of photos of a train on a track
02413.png,a black and white photo of a woman in a black and white photo
97604.png,a man in a uniform is on a cell phone
08571.png,a woman sitting on a chair talking on a cell phone
04126.png,a man flying through the air while riding skis
46973.png,a man wearing a helmet and sunglasses while riding a motorcycle
51049.png,a woman that is standing in front of a wall
74096.png,a boy and a girl sitting on a sled
60197.png,a man in a suit and sunglasses holding a camera
67250.png,a black and white photo of a pair of shoes
01672.png,a man holding a gun in front of a window
82379.png,a man and a woman standing next to each other
39470.png,a young woman sitting on top of a wooden bench
90834.png,a man posing for a picture while holding a cell phone
87504.png,a naked woman laying on top of a bed
54318.png,a man in a suit talking on a microphone
87539.png,a picture of a dog with a picture of a dog on it
39652.png,a man in a suit talking into a microphone
01953.png,a statue of a man standing on top of a stage
24971.png,a woman holding a cell phone next to a picture of a cat
93152.png,a woman sitting at a table with a book
79865.png,a man in a suit and tie posing for a picture
46213.png,a man in a suit talking on a cell phone
79425.png,a man wearing a suit and tie
24658.png,a large group of people sitting in front of a crowd
57401.png,a fire hydrant with smoke coming out of it
12348.png,a man in a suit and tie posing for a picture
49671.png,a man that is standing next to a fence
43519.png,a man and a woman sitting on a couch
05712.png,a woman holding a bird on top of a wall
41372.png,a crowd of people standing next to each other
10582.png,a laptop computer sitting on top of a desk
13450.png,a black and white photo of a man in a suit
21089.png,a person laying on top of a bed
74235.png,a bottle of liquid sitting on top of a table
46518.png,a man laying on the ground in front of a wall
25071.png,a man in a uniform is holding a flag
45326.png,a black and white photo of a black and white dog
30128.png,a woman is talking on a cell phone
13748.png,a hand holding a clock with a cartoon character on it
41903.png,a black and white photo of a man wearing a mask
53967.png,a boy and a girl are playing a game of frisbee
05241.png,a man is talking on a cell phone
34219.png,a man holding a cell phone in his right hand
40127.png,a man sitting in a chair talking on a cell phone
90278.png,a man in a black shirt and a man in a white shirt and a man in a black and white striped shirt and a man in a white striped shirt
59824.png,a red and white striped umbrella hanging from a rope
23754.png,a man in a suit and tie holding an american flag
65234.png,a fire truck with smoke pouring out of it
56837.png,a woman posing for a picture with a cartoon character
96513.png,an old pickup truck parked in front of a building
65093.png,a woman is dressed in a costume and posing for a picture
08962.png,a man in a suit and tie sitting in front of a group of people
83579.png,an old black and white photo of a man in a suit
47385.png,a woman pouring a glass of wine into a wine glass
75601.png,an aerial view of an airplane with smoke coming out of it
24395.png,two men standing next to each other on a wall
85167.png,a cell phone sitting on top of a table
50619.png,a man and a woman laying on a bed
58309.png,a man is talking on a cell phone
58640.png,an airplane that is flying in the sky
47615.png,a dog that is laying down with a stuffed animal
40837.png,a bird sitting on top of a newspaper
17589.png,a man and woman standing next to each other
92734.png,a man in a suit and tie standing next to a man in a suit and tie
37548.png,a man and a woman are talking on a cell phone
16372.png,a baby that is laying down in a blanket
21653.png,a man in a suit talking on a cell phone
72904.png,a woman talking on a cell phone while holding a microphone
29513.png,a man on a cell phone in front of a car
04768.png,a woman in a black and white photo
03197.png,a pile of dead animals laying on top of a pile of hay
89756.png,a woman wearing a pink hat holding a pink purse
32174.png,a little girl holding an umbrella in front of a car
08924.png,a stuffed animal in the middle of a garden
18246.png,a man in a suit and tie sitting at a desk
14836.png,a man sitting on a chair holding a skateboard
05468.png,a number of children playing with a frisbee on the beach
45281.png,a woman standing in front of a forest filled with trees
80769.png,a man that is cooking some food in a frying pan
28319.png,a table filled with lots of different types of food
27150.png,a man with a chain around his neck
57630.png,a small white dog standing next to a picture of a dog
18094.png,a man holding a doughnut up to his face
58916.png,a man in a suit talking on a cell phone
50483.png,a crowd of people standing on top of a bus
85936.png,a collage of photos of people at a carnival
08259.png,a young boy is playing a video game
90126.png,a man and a woman posing for a picture
98530.png,a girl jumping in the air with a skateboard
71532.png,a black and white photo of a man in a suit
36508.png,a man wearing a hat and holding a sign
47015.png,a woman in a red dress holding a sign
19836.png,a man is taking a picture of himself in the mirror
93247.png,women standing next to each other
95801.png,a close up picture of a picture of a plant
70456.png,a collage of photos of a dog laying on the ground
83145.png,a man in a suit talking to a group of people
97824.png,a black and white photo of a brown and white animal
78134.png,a collage of photos of a group of people
58306.png,a screen shot of a group of people in front of a american flag
76923.png,a man in a suit and tie standing in front of a sign
42091.png,a man holding a knife in front of a table
21065.png,a woman posing for a picture in front of a sign
29475.png,a man in a suit and tie posing for a picture
65843.png,a statue of a person holding a knife
08471.png,a black and white dog sitting in front of a window
84102.png,a woman with glasses is holding a magazine
10985.png,a black and white photo of a woman holding a sign
51627.png,a person holding a cell phone in their hand
61825.png,a dog laying on the floor next to a book
60357.png,a woman standing next to a man in front of a bush
76819.png,a man in a suit and tie standing in front of a television
92314.png,a man in a suit is holding a sign
20187.png,a painting of a man standing on top of a building
84172.png,a man wearing a blue shirt and a blue tie
36741.png,a black and white photo of a man in a suit
32695.png,a painting of a man in a suit and tie
50278.png,a woman sitting on a bed holding a magazine
97831.png,a woman in a bikini sitting on a beach
78610.png,a large group of people posing for a picture
57921.png,a motorcycle that is on top of a pile of junk
68459.png,a crowd of people standing next to each other
92453.png,a man and a woman sitting at a table
54930.png,a statue of a man holding a baseball bat
14583.png,a woman is sitting on a park bench
75239.png,a person is reading a book in front of their face
05832.png,an old black and white photo of a man in a suit
57260.png,a sandwich sitting on top of a table next to a bottle of wine
92381.png,a man in a suit talking on a cell phone
73180.png,a man is reading a book in the grass
12546.png,a close up picture of a man with a smile on his face
91803.png,a man in a suit is holding a sign
91584.png,a woman walking down a street with an umbrella
16850.png,an old black and white photo of a man in a suit
52708.png,a woman is standing in front of a blue car
53740.png,a man with a tattoo on his arm
51367.png,a man is holding up a sign with a cartoon character on it
92168.png,a man sitting on a bench next to another man
30247.png,a black and white photo of a white chair
70623.png,people sitting in the back of a pickup truck
41623.png,a figurine of a penguin on top of a pile of toothbrushes
06589.png,a man with a cartoon character on his face
23841.png,a crowd of people standing next to each other
40316.png,two men standing next to each other in front of a fire hydrant
40153.png,a cell phone sitting on top of a table
21509.png,the flag of the united states of america flies in front of the american flag
43269.png,a black and white photo of a man holding a baseball bat
98032.png,a person holding a sandwich in their hand
64059.png,a woman is talking on a cell phone
25901.png,a black and white photo of a sheep
90263.png,a car that is parked in front of a building
53678.png,a collage of photos of a woman sitting on a couch
60839.png,a collage of different colored toothbrushes sitting on top of each other
16904.png,a woman in a dress shirt and tie standing in front of a car
02894.png,a man with a tattoo on his face
37658.png,a woman holding a tennis racquet on top of a tennis court
28935.png,a black and white photo of a street sign
94078.png,a man in a suit and tie holding a microphone
45316.png,a brown and white photo of a brown and white dog and a black and white photo of a brown and white dog and a black and white photo of a
69548.png,a dog jumping in the air to catch a frisbee
23578.png,a collage of different colored toothbrushes sitting on top of each other
72605.png,a woman is reading a book in front of a train
28374.png,a woman holding a stuffed animal in front of a group of people
48361.png,a person laying on the ground next to a pile of luggage
57103.png,a man in a suit talking on a microphone
81645.png,a woman standing on top of a body of water
25690.png,a man holding a knife in front of a painting
98523.png,a black and white photo of a cow
45379.png,a fire hydrant in front of a building with smoke coming out of it
18547.png,a man is holding a bottle of water
67319.png,a woman in a black and white photo holding a white object
76108.png,a black and white photo of smoke coming out of an airplane
40865.png,a picture of a man in a suit and tie
70562.png,a man holding a nintendo wii game controller
38714.png,a man and a woman looking at each other
67810.png,a man wearing a suit and tie
90742.png,a man holding a tennis racket in his right hand
52140.png,a man in a suit and tie posing for a picture
72864.png,men riding on the backs of horses
35917.png,a man in a red shirt is holding a sign
72689.png,a man wearing a suit and tie
90728.png,a woman is posing for a picture in a magazine
92608.png,a man in a suit talking on a cell phone
97508.png,a woman standing in front of a microphone
05439.png,a person's hand holding a cell phone in front of their face
31295.png,a man wearing a suit and tie
57198.png,a woman in a pink dress is holding a black and white teddy bear
21450.png,a glass of orange juice sitting on top of a table
56107.png,a black and white photo of a person cleaning a fire hydrant
95081.png,a crowd of people walking down a street with umbrellas
16084.png,a collage of photos of a man and a woman
80649.png,a black and white dog laying on top of a blanket
74206.png,a collage of various images of a cartoon character
10765.png,a man cooking food on a stove top in a kitchen
62710.png,a brown and white dog sitting on top of a couch
71943.png,a man is talking on a cell phone
85261.png,a man in a suit and tie posing for a picture
31560.png,a woman brushing her teeth in front of a picture
46217.png,a man in a suit talking on a cell phone
80425.png,a man sitting at a table in front of a projection screen
15796.png,a white plate topped with lots of different types of food
78402.png,a man in a suit talking to a group of people
34897.png,a cartoon of a person wearing a hat and sunglasses
98035.png,women standing next to each other
65349.png,a woman taking a picture of herself in front of a mirror
10562.png,a man in a suit talking on a microphone
34805.png,a crowd of people walking down a street
96082.png,a man sitting on the ground reading a newspaper
17802.png,a man that is sitting in front of a picture
84759.png,a man and a woman sitting on a wooden bench
61054.png,a woman sitting at a table with two men
42189.png,a crowd of people standing in front of a truck
41605.png,a man in a suit talking on a cell phone
86215.png,a black and white photo of a person in a black jacket and a black and white photo of a person in a white jacket and a black and white photo
81675.png,a woman is talking on a cell phone
56827.png,a man talking on a cell phone next to a group of people
84072.png,a drawing of a black and white picture of a black and white picture of a black and white picture of a black and white picture of a black and white
26507.png,a man and a woman speaking to each other
61538.png,a man laying on top of a blanket on a beach
40761.png,a woman eating a bowl of cereal with a spoon
82964.png,a man reading a book while sitting on a couch
51349.png,a collage of photos of a man and a woman
51497.png,a black and white photo of a polar bear
52304.png,a crowd of people flying kites in the air
25984.png,a white bear sitting on top of a lush green field
10589.png,a man in a suit and tie posing for a picture
68159.png,a man riding on the back of a bicycle
76510.png,a woman is smiling and posing for a picture
34680.png,a close up picture of a man in a suit
04873.png,a collage of photos of a woman and a train
85964.png,a white plate with a picture of a person on it
34961.png,a black and white photo of a dog
98215.png,a young woman is looking at her cell phone
07125.png,a collage of photos of people standing in front of a fire hydrant
14679.png,a man holding a book in front of his face
85690.png,a black and white photo of a man in a suit
97384.png,a man sitting in a chair holding a book
85324.png,a man that is holding a hat
65073.png,a man in a uniform standing next to a flag
85471.png,a man in a black and white photo
16042.png,a man in a suit is reading a newspaper
42179.png,a crowd of people standing on top of a beach
20936.png,a woman sitting on a couch with a plate of food
97316.png,a cat sitting on top of a couch
36421.png,a woman sitting at a desk typing on a computer
97568.png,a collage of photos of a woman holding a knife
71358.png,a woman in a white dress holding a magazine
30156.png,a man in a suit and tie posing for a picture
91602.png,a man in a suit walking down a hallway
07839.png,a woman is talking on a cell phone
78450.png,a man that is standing up with a sign
37465.png,a man in a suit reading a book
37254.png,a pile of garbage sitting on top of a trash can
52691.png,a man standing in front of a crowd holding a microphone
79682.png,a man wearing a suit and tie
32140.png,a man in a suit and tie posing for a picture
19532.png,a woman cutting a man's hair with a pair of scissors
70426.png,a man with a beard is smiling for the camera
21946.png,a baby laying in a bed with a christmas hat on
38590.png,a blurry photo of a person holding a gun
08357.png,a man is spraying water into a fire hydrant
84970.png,a statue of a man with a stuffed animal on his head
34915.png,a woman holding a bottle of water next to a child
51789.png,a man that is sitting in front of a sign
06157.png,a man in a suit and tie
71950.png,two women are looking at their cell phones
12309.png,a police officer posing for a picture in front of a truck
48921.png,a man in a suit talking on a cell phone
